variable,Overall,test,train,val
V4_max,"1.3 [0.9, 1.8]","1.3 [0.9, 1.7]","1.3 [0.9, 1.8]","1.3 [0.9, 1.8]"
V4_rms,"0.2 [0.2, 0.3]","0.2 [0.2, 0.3]","0.2 [0.2, 0.3]","0.2 [0.2, 0.3]"
V5_mean,"-0.0 [-0.0, 0.0]","-0.0 [-0.0, 0.0]","-0.0 [-0.0, 0.0]","-0.0 [-0.0, 0.0]"
V5_std,"0.2 [0.2, 0.3]","0.2 [0.2, 0.3]","0.2 [0.2, 0.3]","0.2 [0.2, 0.3]"
V5_min,"-0.4 [-0.6, -0.3]","-0.4 [-0.7, -0.3]","-0.4 [-0.6, -0.3]","-0.4 [-0.6, -0.3]"
V5_max,"1.3 [1.0, 1.8]","1.4 [1.1, 1.8]","1.3 [1.0, 1.8]","1.3 [1.0, 1.7]"
V5_rms,"0.2 [0.2, 0.3]","0.2 [0.2, 0.3]","0.2 [0.2, 0.3]","0.2 [0.2, 0.3]"
V6_mean,"-0.0 [-0.0, 0.0]","-0.0 [-0.0, 0.0]","-0.0 [-0.0, 0.0]","-0.0 [-0.0, 0.0]"
V6_std,"0.2 [0.1, 0.2]","0.2 [0.1, 0.2]","0.2 [0.1, 0.2]","0.2 [0.1, 0.2]"
V6_min,"-0.3 [-0.4, -0.2]","-0.3 [-0.5, -0.2]","-0.3 [-0.4, -0.2]","-0.3 [-0.4, -0.2]"
V6_max,"1.1 [0.8, 1.4]","1.1 [0.9, 1.5]","1.1 [0.8, 1.4]","1.1 [0.8, 1.4]"
V6_rms,"0.2 [0.1, 0.2]","0.2 [0.1, 0.2]","0.2 [0.1, 0.2]","0.2 [0.1, 0.2]"
gender = M,2075 (51.9%),214 (53.0%),1664 (52.1%),197 (49.1%)
gender = F,1925 (48.1%),190 (47.0%),1531 (47.9%),204 (50.9%)
