model,calibration_method,referral_rate,coverage,n_accepted,n_referred,selective_risk,accepted_case_error_rate,sensitivity,specificity,ppv,npv,brier_score,ece,decision_threshold
logistic_regression,isotonic,0.0,1.0,1200,0,0.22,0.22,0.6,0.8192893401015229,0.4201954397394137,0.9036954087346024,0.1179006723851009,0.0313811118452973,0.2
logistic_regression,isotonic,0.05,0.95,1140,60,0.2008771929824561,0.2008771929824561,0.5473684210526316,0.8494736842105263,0.4210526315789473,0.9036954087346024,0.1104837606650934,0.024190156105404,0.2
logistic_regression,isotonic,0.1,0.9,1080,120,0.1814814814814815,0.1814814814814815,0.4723926380368098,0.8800436205016358,0.4117647058823529,0.9036954087346024,0.1048521132357236,0.0207407459000934,0.2
logistic_regression,isotonic,0.2,0.8,960,240,0.121875,0.121875,0.2950819672131147,0.9630071599045346,0.5373134328358209,0.9036954087346024,0.089574169678337,0.0198200219849176,0.2
logistic_regression,isotonic,0.3,0.7,840,360,0.0904761904761904,0.0904761904761904,0.2577319587628865,0.9946164199192464,0.8620689655172413,0.9112207151664612,0.0785391346637915,0.0207698889964858,0.2
logistic_regression,platt,0.0,1.0,1200,0,0.2383333333333333,0.2383333333333333,0.6372093023255814,0.7888324873096447,0.3971014492753623,0.9087719298245616,0.1169728891310857,0.0324001087543317,0.2
logistic_regression,platt,0.05,0.95,1140,60,0.219298245614035,0.219298245614035,0.5916230366492147,0.8187565858798735,0.3964912280701754,0.9087719298245616,0.1104969803735319,0.0286881968110748,0.2
logistic_regression,platt,0.1,0.9,1080,120,0.1962962962962963,0.1962962962962963,0.5384615384615384,0.8529088913282108,0.4044444444444444,0.9087719298245616,0.1030391174339607,0.0241385303523396,0.2
logistic_regression,platt,0.2,0.8,960,240,0.14375,0.14375,0.3658536585365853,0.92831541218638,0.4285714285714285,0.9087719298245616,0.0898952940463393,0.0207111067774312,0.2
logistic_regression,platt,0.3,0.7,840,360,0.0785714285714285,0.0785714285714285,0.2261904761904762,0.9986772486772488,0.95,0.9207317073170732,0.0710907870618758,0.0153984434891044,0.2
logistic_regression,uncalibrated,0.0,1.0,1200,0,0.5275,0.5275,0.9395348837209302,0.3705583756345177,0.2457420924574209,0.9656084656084656,0.1721476986027093,0.207193243418843,0.2
logistic_regression,uncalibrated,0.05,0.95,1140,60,0.5166666666666667,0.5166666666666667,0.9346733668341708,0.38788522848034,0.2440944881889764,0.9656084656084656,0.1681064154299413,0.2057212521159528,0.2
logistic_regression,uncalibrated,0.1,0.9,1080,120,0.499074074074074,0.499074074074074,0.9312169312169312,0.409652076318743,0.2507122507122507,0.9656084656084656,0.1639488001422038,0.1991224796966093,0.2
logistic_regression,uncalibrated,0.2,0.8,960,240,0.4604166666666666,0.4604166666666666,0.9216867469879518,0.4596977329974811,0.2628865979381443,0.9656084656084656,0.1549883964543421,0.1872297545140224,0.2
logistic_regression,uncalibrated,0.3,0.7,840,360,0.413095238095238,0.413095238095238,0.9078014184397164,0.5221745350500715,0.277056277056277,0.9656084656084656,0.144589105933746,0.1749284093334928,0.2
